Loading pretrained model weights selectively (backbone)
----------
epoch 1
1/849, train_loss: 0.7788
336/849, train_loss: 0.7166
337/849, train_loss: 0.7300
338/849, train_loss: 0.6896
339/849, train_loss: 0.5400
340/849, train_loss: 0.5322
341/849, train_loss: 0.7217
342/849, train_loss: 0.7358
343/849, train_loss: 0.6815
344/849, train_loss: 0.6885
345/849, train_loss: 0.6652
346/849, train_loss: 0.4994
347/849, train_loss: 0.7119
348/849, train_loss: 0.4995
349/849, train_loss: 0.5012
350/849, train_loss: 0.7002
351/849, train_loss: 0.6270
352/849, train_loss: 0.7122
353/849, train_loss: 0.4835
354/849, train_loss: 0.7263
355/849, train_loss: 0.7191
356/849, train_loss: 0.7390
357/849, train_loss: 0.6389
358/849, train_loss: 0.7213
359/849, train_loss: 1.0181
360/849, train_loss: 0.4814
361/849, train_loss: 0.6180
362/849, train_loss: 0.4806
363/849, train_loss: 0.6970
364/849, train_loss: 0.9941
365/849, train_loss: 0.7146
366/849, train_loss: 0.7163
367/849, train_loss: 0.4784
368/849, train_loss: 0.4946
369/849, train_loss: 0.9307
370/849, train_loss: 0.7207
371/849, train_loss: 0.5121
372/849, train_loss: 0.5122
373/849, train_loss: 0.4937
374/849, train_loss: 0.7329
375/849, train_loss: 0.6675
376/849, train_loss: 0.6718
377/849, train_loss: 0.9336
378/849, train_loss: 0.6948
379/849, train_loss: 0.7434
380/849, train_loss: 0.5068
381/849, train_loss: 0.8059
382/849, train_loss: 0.4952
383/849, train_loss: 0.6793
384/849, train_loss: 0.7170
385/849, train_loss: 0.7485
386/849, train_loss: 0.6548
387/849, train_loss: 0.6855
388/849, train_loss: 0.5051
389/849, train_loss: 0.9229
390/849, train_loss: 0.6763
391/849, train_loss: 0.6113
392/849, train_loss: 0.7361
393/849, train_loss: 0.6617
394/849, train_loss: 0.5387
395/849, train_loss: 0.7561
396/849, train_loss: 0.5559
397/849, train_loss: 0.5281
398/849, train_loss: 0.6616
399/849, train_loss: 0.6265
400/849, train_loss: 0.5393
401/849, train_loss: 0.6462
402/849, train_loss: 0.5215
403/849, train_loss: 0.6958
404/849, train_loss: 0.7075
405/849, train_loss: 0.6780
406/849, train_loss: 0.6162
407/849, train_loss: 0.7594
408/849, train_loss: 0.7390
409/849, train_loss: 0.6216
410/849, train_loss: 0.7595
411/849, train_loss: 0.4746
412/849, train_loss: 0.9668
413/849, train_loss: 0.6531
414/849, train_loss: 0.7086
415/849, train_loss: 0.9668
416/849, train_loss: 0.7988
417/849, train_loss: 0.7263
418/849, train_loss: 0.6744
419/849, train_loss: 0.6133
420/849, train_loss: 0.6633
421/849, train_loss: 0.8630
422/849, train_loss: 0.5684
423/849, train_loss: 0.6331
424/849, train_loss: 0.7644
425/849, train_loss: 0.7185
426/849, train_loss: 0.7981
427/849, train_loss: 0.8254
428/849, train_loss: 0.7427
429/849, train_loss: 0.6572
430/849, train_loss: 0.7139
431/849, train_loss: 0.6304
432/849, train_loss: 0.6709
433/849, train_loss: 0.6768
434/849, train_loss: 0.6899
435/849, train_loss: 0.6147
436/849, train_loss: 0.7422
437/849, train_loss: 0.6272
438/849, train_loss: 0.6609
439/849, train_loss: 0.6165
440/849, train_loss: 0.6040
441/849, train_loss: 0.5808
442/849, train_loss: 0.6130
443/849, train_loss: 0.5867
444/849, train_loss: 0.5400
445/849, train_loss: 0.8494
446/849, train_loss: 0.7461
447/849, train_loss: 0.8628
448/849, train_loss: 0.6831
449/849, train_loss: 0.5569
450/849, train_loss: 0.5490
451/849, train_loss: 0.7419
452/849, train_loss: 0.8882
453/849, train_loss: 0.6349
454/849, train_loss: 0.5609
455/849, train_loss: 0.6785
456/849, train_loss: 0.8435
457/849, train_loss: 0.8967
458/849, train_loss: 0.5754
459/849, train_loss: 0.6868
460/849, train_loss: 0.7061
461/849, train_loss: 0.7896
462/849, train_loss: 0.7354
463/849, train_loss: 0.6172
464/849, train_loss: 0.5774
465/849, train_loss: 0.6079
466/849, train_loss: 0.5623
467/849, train_loss: 0.6296
468/849, train_loss: 0.7148
469/849, train_loss: 0.7815
470/849, train_loss: 0.6902
471/849, train_loss: 0.7021
472/849, train_loss: 0.7559
473/849, train_loss: 0.7317
474/849, train_loss: 0.6821
475/849, train_loss: 0.7419
476/849, train_loss: 0.6912
477/849, train_loss: 0.5786
478/849, train_loss: 0.5065
479/849, train_loss: 0.5989
480/849, train_loss: 0.7920
481/849, train_loss: 0.6526
482/849, train_loss: 0.7842
483/849, train_loss: 0.6199
484/849, train_loss: 0.8411
485/849, train_loss: 0.7727
486/849, train_loss: 0.6704
487/849, train_loss: 0.5781
488/849, train_loss: 0.5886
489/849, train_loss: 0.6716
490/849, train_loss: 0.8420
491/849, train_loss: 0.6638
492/849, train_loss: 0.8440
493/849, train_loss: 0.6682
494/849, train_loss: 0.5647
495/849, train_loss: 0.8125
496/849, train_loss: 0.6914
497/849, train_loss: 0.8010
498/849, train_loss: 0.7759
499/849, train_loss: 0.6038
500/849, train_loss: 0.7852
501/849, train_loss: 0.6995
502/849, train_loss: 0.6846
503/849, train_loss: 0.7065
504/849, train_loss: 0.5522
505/849, train_loss: 0.7439
506/849, train_loss: 0.7400
507/849, train_loss: 0.7019
508/849, train_loss: 0.7207
509/849, train_loss: 0.7556
510/849, train_loss: 0.6833
511/849, train_loss: 0.7007
512/849, train_loss: 0.6755
513/849, train_loss: 0.7109
514/849, train_loss: 0.6394
515/849, train_loss: 0.6414
516/849, train_loss: 0.7642
517/849, train_loss: 0.6311
518/849, train_loss: 0.7786
519/849, train_loss: 0.7646
520/849, train_loss: 0.7993
521/849, train_loss: 0.6161
522/849, train_loss: 0.6047
523/849, train_loss: 0.7744
524/849, train_loss: 0.5828
525/849, train_loss: 0.8269
526/849, train_loss: 0.5881
527/849, train_loss: 0.8486
528/849, train_loss: 0.8352
529/849, train_loss: 0.5615
530/849, train_loss: 0.5798
531/849, train_loss: 0.7351
532/849, train_loss: 0.7168
533/849, train_loss: 0.6772
534/849, train_loss: 0.8491
535/849, train_loss: 0.5582
536/849, train_loss: 0.6484
537/849, train_loss: 0.5470
538/849, train_loss: 0.8479
539/849, train_loss: 0.8477
540/849, train_loss: 0.8223
541/849, train_loss: 0.5803
542/849, train_loss: 0.8032
543/849, train_loss: 0.6086
544/849, train_loss: 0.6150
545/849, train_loss: 0.7190
546/849, train_loss: 0.6138
547/849, train_loss: 0.7756
548/849, train_loss: 0.7124
549/849, train_loss: 0.6982
550/849, train_loss: 0.6375
551/849, train_loss: 0.6611
552/849, train_loss: 0.7917
553/849, train_loss: 0.7603
554/849, train_loss: 0.7708
555/849, train_loss: 0.6226
556/849, train_loss: 0.7234
557/849, train_loss: 0.6379
558/849, train_loss: 0.6653
559/849, train_loss: 0.6519
560/849, train_loss: 0.7239
561/849, train_loss: 0.6770
562/849, train_loss: 0.6855
563/849, train_loss: 0.6577
564/849, train_loss: 0.6360
565/849, train_loss: 0.7634
566/849, train_loss: 0.7485
567/849, train_loss: 0.7131
568/849, train_loss: 0.7263
569/849, train_loss: 0.6311
570/849, train_loss: 0.7522
571/849, train_loss: 0.6094
572/849, train_loss: 0.7754
573/849, train_loss: 0.7715
574/849, train_loss: 0.7043
575/849, train_loss: 0.7502
576/849, train_loss: 0.7383
577/849, train_loss: 0.7361
578/849, train_loss: 0.6885
579/849, train_loss: 0.7075
580/849, train_loss: 0.6890
581/849, train_loss: 0.7163
582/849, train_loss: 0.7153
583/849, train_loss: 0.7249
584/849, train_loss: 0.7400
585/849, train_loss: 0.5959
586/849, train_loss: 0.6099
587/849, train_loss: 0.7722
588/849, train_loss: 0.6292
589/849, train_loss: 0.7266
590/849, train_loss: 0.7104
591/849, train_loss: 0.7080
592/849, train_loss: 0.7620
593/849, train_loss: 0.7720
594/849, train_loss: 0.6140
595/849, train_loss: 0.7632
596/849, train_loss: 0.7410
597/849, train_loss: 0.7170
598/849, train_loss: 0.7310
599/849, train_loss: 0.6455
600/849, train_loss: 0.6860
601/849, train_loss: 0.6624
602/849, train_loss: 0.6355
603/849, train_loss: 0.7717
604/849, train_loss: 0.6587
605/849, train_loss: 0.7720
606/849, train_loss: 0.6526
607/849, train_loss: 0.6130
608/849, train_loss: 0.7896
609/849, train_loss: 0.6838
610/849, train_loss: 0.8245
611/849, train_loss: 0.6970
612/849, train_loss: 0.7441
613/849, train_loss: 0.8135
614/849, train_loss: 0.6924
615/849, train_loss: 0.6855
616/849, train_loss: 0.7554
617/849, train_loss: 0.6775
618/849, train_loss: 0.6611
619/849, train_loss: 0.7266
620/849, train_loss: 0.6719
621/849, train_loss: 0.7151
622/849, train_loss: 0.7012
623/849, train_loss: 0.6597
624/849, train_loss: 0.7117
625/849, train_loss: 0.7673
626/849, train_loss: 0.7305
627/849, train_loss: 0.7268
628/849, train_loss: 0.7317
629/849, train_loss: 0.6145
630/849, train_loss: 0.6689
631/849, train_loss: 0.6633
632/849, train_loss: 0.7102
633/849, train_loss: 0.7708
634/849, train_loss: 0.6931
635/849, train_loss: 0.6816
636/849, train_loss: 0.6846
637/849, train_loss: 0.7273
638/849, train_loss: 0.6392
639/849, train_loss: 0.7478
640/849, train_loss: 0.7402
641/849, train_loss: 0.7017
642/849, train_loss: 0.5896
643/849, train_loss: 0.7766
644/849, train_loss: 0.6130
645/849, train_loss: 0.6846
646/849, train_loss: 0.7278
647/849, train_loss: 0.7439
648/849, train_loss: 0.6255
649/849, train_loss: 0.7737
650/849, train_loss: 0.6648
651/849, train_loss: 0.5964
652/849, train_loss: 0.6228
653/849, train_loss: 0.6306
654/849, train_loss: 0.7258
655/849, train_loss: 0.6763
656/849, train_loss: 0.8513
657/849, train_loss: 0.7300
658/849, train_loss: 0.5713
659/849, train_loss: 0.7209
660/849, train_loss: 0.8555
661/849, train_loss: 0.6575
662/849, train_loss: 0.8430
663/849, train_loss: 0.7129
664/849, train_loss: 0.6936
665/849, train_loss: 0.6848
666/849, train_loss: 0.6438
667/849, train_loss: 0.8184
668/849, train_loss: 0.7456
669/849, train_loss: 0.6440
670/849, train_loss: 0.6445
671/849, train_loss: 0.7019
672/849, train_loss: 0.6445
673/849, train_loss: 0.7480
674/849, train_loss: 0.7209
675/849, train_loss: 0.6455
676/849, train_loss: 0.7407
677/849, train_loss: 0.6575
678/849, train_loss: 0.6838
679/849, train_loss: 0.6174
680/849, train_loss: 0.7268
681/849, train_loss: 0.7710
682/849, train_loss: 0.6450
683/849, train_loss: 0.7468
684/849, train_loss: 0.7402
685/849, train_loss: 0.7261
686/849, train_loss: 0.6604
687/849, train_loss: 0.6694
688/849, train_loss: 0.6667
689/849, train_loss: 0.7017
690/849, train_loss: 0.6960
691/849, train_loss: 0.6587
692/849, train_loss: 0.6821
693/849, train_loss: 0.6707
694/849, train_loss: 0.7104
695/849, train_loss: 0.7283
696/849, train_loss: 0.6487
697/849, train_loss: 0.7061
698/849, train_loss: 0.6829
699/849, train_loss: 0.6721
700/849, train_loss: 0.7065
701/849, train_loss: 0.7083
702/849, train_loss: 0.7104
703/849, train_loss: 0.6431
704/849, train_loss: 0.7295
705/849, train_loss: 0.6829
706/849, train_loss: 0.7185
707/849, train_loss: 0.6182
708/849, train_loss: 0.7759
709/849, train_loss: 0.6865
710/849, train_loss: 0.6658
711/849, train_loss: 0.6519
712/849, train_loss: 0.6772
713/849, train_loss: 0.7334
714/849, train_loss: 0.6750
715/849, train_loss: 0.6125
716/849, train_loss: 0.7424
717/849, train_loss: 0.7434
718/849, train_loss: 0.7114
719/849, train_loss: 0.6709
720/849, train_loss: 0.8125
721/849, train_loss: 0.7954
722/849, train_loss: 0.7808
723/849, train_loss: 0.6836
724/849, train_loss: 0.6760
725/849, train_loss: 0.6384
726/849, train_loss: 0.6917
727/849, train_loss: 0.6777
728/849, train_loss: 0.7170
729/849, train_loss: 0.6921
730/849, train_loss: 0.6978
731/849, train_loss: 0.6897
732/849, train_loss: 0.6917
733/849, train_loss: 0.7102
734/849, train_loss: 0.8091
735/849, train_loss: 0.7065
736/849, train_loss: 0.6968
737/849, train_loss: 0.5469
738/849, train_loss: 0.7146
739/849, train_loss: 0.6658
740/849, train_loss: 0.6257
741/849, train_loss: 0.6448
742/849, train_loss: 0.7437
743/849, train_loss: 0.7283
744/849, train_loss: 0.6694
745/849, train_loss: 0.7397
746/849, train_loss: 0.6697
747/849, train_loss: 0.6711
748/849, train_loss: 0.8357
749/849, train_loss: 0.7234
750/849, train_loss: 0.6262
751/849, train_loss: 0.6917
752/849, train_loss: 0.6846
753/849, train_loss: 0.7061
754/849, train_loss: 0.8308
755/849, train_loss: 0.5623
756/849, train_loss: 0.5974
757/849, train_loss: 0.7334
758/849, train_loss: 0.5613
759/849, train_loss: 0.5852
760/849, train_loss: 0.6790
761/849, train_loss: 0.8535
762/849, train_loss: 0.7500
763/849, train_loss: 0.5366
764/849, train_loss: 0.5554
765/849, train_loss: 0.7090
766/849, train_loss: 0.6801
767/849, train_loss: 0.6975
768/849, train_loss: 0.6978
769/849, train_loss: 0.6968
770/849, train_loss: 0.5122
771/849, train_loss: 0.4923
772/849, train_loss: 0.7292
773/849, train_loss: 0.7546
774/849, train_loss: 0.4928
775/849, train_loss: 0.7081
776/849, train_loss: 0.6545
777/849, train_loss: 0.6913
778/849, train_loss: 0.9912
779/849, train_loss: 0.4961
780/849, train_loss: 0.7220
781/849, train_loss: 0.9507
782/849, train_loss: 0.6661
783/849, train_loss: 0.4835
784/849, train_loss: 0.6849
785/849, train_loss: 0.7076
786/849, train_loss: 0.4753
787/849, train_loss: 0.7010
788/849, train_loss: 0.7881
789/849, train_loss: 0.7406
790/849, train_loss: 0.7009
791/849, train_loss: 0.6821
792/849, train_loss: 0.6458
793/849, train_loss: 0.7600
794/849, train_loss: 0.5093
795/849, train_loss: 0.8091
796/849, train_loss: 0.7751
797/849, train_loss: 0.6116
798/849, train_loss: 0.7336
799/849, train_loss: 0.6904
800/849, train_loss: 0.6763
801/849, train_loss: 0.5312
802/849, train_loss: 0.6738
803/849, train_loss: 0.5370
804/849, train_loss: 0.6829
805/849, train_loss: 0.6276
806/849, train_loss: 0.7252
807/849, train_loss: 0.6469
808/849, train_loss: 0.9087
809/849, train_loss: 0.7102
810/849, train_loss: 0.8389
811/849, train_loss: 0.8748
812/849, train_loss: 0.8262
813/849, train_loss: 0.6802
814/849, train_loss: 0.5996
815/849, train_loss: 0.7180
816/849, train_loss: 0.7427
817/849, train_loss: 0.7585
818/849, train_loss: 0.7295
819/849, train_loss: 0.7651
820/849, train_loss: 0.6841
821/849, train_loss: 0.7432
822/849, train_loss: 0.6433
823/849, train_loss: 0.6421
824/849, train_loss: 0.7529
825/849, train_loss: 0.7034
826/849, train_loss: 0.6567
827/849, train_loss: 0.7727
828/849, train_loss: 0.6267
829/849, train_loss: 0.7334
830/849, train_loss: 0.6746
831/849, train_loss: 0.6042
832/849, train_loss: 0.7373
833/849, train_loss: 0.7925
834/849, train_loss: 0.6919
835/849, train_loss: 0.7751
836/849, train_loss: 0.7625
837/849, train_loss: 0.7261
838/849, train_loss: 0.6416
839/849, train_loss: 0.6484
840/849, train_loss: 0.6582
841/849, train_loss: 0.7173
842/849, train_loss: 0.7334
843/849, train_loss: 0.7551
844/849, train_loss: 0.6272
845/849, train_loss: 0.6294
846/849, train_loss: 0.6440
847/849, train_loss: 0.7546
848/849, train_loss: 0.6833
849/849, train_loss: 0.7612
epoch 13 average loss: 0.6952
Epoch time duration: 545.0262169837952
----------
epoch 14
1/849, train_loss: 0.7581
2/849, train_loss: 0.6064
3/849, train_loss: 0.7368
4/849, train_loss: 0.7136
5/849, train_loss: 0.7275
6/849, train_loss: 0.6516
7/849, train_loss: 0.6655
8/849, train_loss: 0.6768
9/849, train_loss: 0.6497
10/849, train_loss: 0.7473
11/849, train_loss: 0.6436
12/849, train_loss: 0.7390
13/849, train_loss: 0.7346
14/849, train_loss: 0.6919
15/849, train_loss: 0.6016
16/849, train_loss: 0.6506
17/849, train_loss: 0.6001
18/849, train_loss: 0.7083
19/849, train_loss: 0.7893
20/849, train_loss: 0.7258
21/849, train_loss: 0.6848
22/849, train_loss: 0.6843
23/849, train_loss: 0.7024
24/849, train_loss: 0.8027
25/849, train_loss: 0.6865
26/849, train_loss: 0.6523
27/849, train_loss: 0.6567
28/849, train_loss: 0.7119
29/849, train_loss: 0.7024
30/849, train_loss: 0.7607
31/849, train_loss: 0.7317
32/849, train_loss: 0.7183
33/849, train_loss: 0.6719
34/849, train_loss: 0.7126
35/849, train_loss: 0.6780
36/849, train_loss: 0.7314
37/849, train_loss: 0.6606
38/849, train_loss: 0.6995
39/849, train_loss: 0.6572
40/849, train_loss: 0.7224
41/849, train_loss: 0.6785
42/849, train_loss: 0.6206
43/849, train_loss: 0.7083
44/849, train_loss: 0.7153
45/849, train_loss: 0.7153
46/849, train_loss: 0.6755
47/849, train_loss: 0.6963
48/849, train_loss: 0.6741
49/849, train_loss: 0.7405
50/849, train_loss: 0.7124
51/849, train_loss: 0.6929
52/849, train_loss: 0.7153
53/849, train_loss: 0.7349
54/849, train_loss: 0.7146
55/849, train_loss: 0.6951
56/849, train_loss: 0.6794
57/849, train_loss: 0.6570
58/849, train_loss: 0.7036
59/849, train_loss: 0.7190
60/849, train_loss: 0.6838
61/849, train_loss: 0.6616
62/849, train_loss: 0.6323
63/849, train_loss: 0.6965
64/849, train_loss: 0.6250
65/849, train_loss: 0.6440
66/849, train_loss: 0.6387
67/849, train_loss: 0.5667
68/849, train_loss: 0.7053
69/849, train_loss: 0.6890
70/849, train_loss: 0.5767
71/849, train_loss: 0.6863
72/849, train_loss: 0.6343
73/849, train_loss: 0.5347
74/849, train_loss: 0.7158
75/849, train_loss: 0.9106
76/849, train_loss: 0.6605
77/849, train_loss: 0.7312
78/849, train_loss: 0.7891
79/849, train_loss: 0.4865
80/849, train_loss: 0.7280
81/849, train_loss: 0.9338
82/849, train_loss: 0.9270
83/849, train_loss: 0.7893
84/849, train_loss: 0.5291
85/849, train_loss: 0.9170
86/849, train_loss: 0.6941
87/849, train_loss: 0.6675
88/849, train_loss: 0.6877
89/849, train_loss: 0.7131
90/849, train_loss: 0.7405
91/849, train_loss: 0.5876
92/849, train_loss: 0.6631
93/849, train_loss: 0.8215
94/849, train_loss: 0.5977
95/849, train_loss: 0.7871
96/849, train_loss: 0.6106
97/849, train_loss: 0.6824
98/849, train_loss: 0.6931
99/849, train_loss: 0.6050
100/849, train_loss: 0.6345
101/849, train_loss: 0.7666
102/849, train_loss: 0.7583
103/849, train_loss: 0.7876
104/849, train_loss: 0.6909
105/849, train_loss: 0.7805
106/849, train_loss: 0.7004
107/849, train_loss: 0.6589
108/849, train_loss: 0.6638
109/849, train_loss: 0.7656
110/849, train_loss: 0.7183
111/849, train_loss: 0.6372
112/849, train_loss: 0.6553
113/849, train_loss: 0.7053
114/849, train_loss: 0.6802
115/849, train_loss: 0.7158
116/849, train_loss: 0.6501
117/849, train_loss: 0.7344
118/849, train_loss: 0.6765
119/849, train_loss: 0.7000
120/849, train_loss: 0.6980
121/849, train_loss: 0.6958
122/849, train_loss: 0.6443
123/849, train_loss: 0.7034
124/849, train_loss: 0.7415
125/849, train_loss: 0.6533
126/849, train_loss: 0.7227
127/849, train_loss: 0.6079
128/849, train_loss: 0.7114
129/849, train_loss: 0.6116
130/849, train_loss: 0.6584
131/849, train_loss: 0.6946
132/849, train_loss: 0.7520
133/849, train_loss: 0.6890
134/849, train_loss: 0.6362
135/849, train_loss: 0.6785
136/849, train_loss: 0.6794
137/849, train_loss: 0.6665
138/849, train_loss: 0.6572
139/849, train_loss: 0.6826
140/849, train_loss: 0.7222
141/849, train_loss: 0.7380
142/849, train_loss: 0.6946
143/849, train_loss: 0.6919
144/849, train_loss: 0.7473
145/849, train_loss: 0.6306
146/849, train_loss: 0.7847
147/849, train_loss: 0.7595
148/849, train_loss: 0.6567
149/849, train_loss: 0.7207
150/849, train_loss: 0.6562
151/849, train_loss: 0.6926
152/849, train_loss: 0.7378
153/849, train_loss: 0.6382
154/849, train_loss: 0.5942
155/849, train_loss: 0.7502
156/849, train_loss: 0.7385
157/849, train_loss: 0.7151
158/849, train_loss: 0.7100
159/849, train_loss: 0.6492
160/849, train_loss: 0.6677
161/849, train_loss: 0.6946
162/849, train_loss: 0.6936
163/849, train_loss: 0.6890
164/849, train_loss: 0.7012
165/849, train_loss: 0.7085
166/849, train_loss: 0.6592
167/849, train_loss: 0.7603
168/849, train_loss: 0.6882
169/849, train_loss: 0.7109
170/849, train_loss: 0.7341
171/849, train_loss: 0.6892
172/849, train_loss: 0.6680
173/849, train_loss: 0.6755
174/849, train_loss: 0.6504
175/849, train_loss: 0.7083
176/849, train_loss: 0.7351
177/849, train_loss: 0.6167
178/849, train_loss: 0.6965
179/849, train_loss: 0.6650
180/849, train_loss: 0.6458
181/849, train_loss: 0.7041
182/849, train_loss: 0.7761
183/849, train_loss: 0.6187
184/849, train_loss: 0.6199
185/849, train_loss: 0.7754
186/849, train_loss: 0.6208
187/849, train_loss: 0.6467
188/849, train_loss: 0.7236
189/849, train_loss: 0.6753
190/849, train_loss: 0.7292
191/849, train_loss: 0.7932
192/849, train_loss: 0.7876
193/849, train_loss: 0.7661
194/849, train_loss: 0.6956
195/849, train_loss: 0.7595
196/849, train_loss: 0.6780
197/849, train_loss: 0.6699
198/849, train_loss: 0.6548
199/849, train_loss: 0.7378
200/849, train_loss: 0.6782
201/849, train_loss: 0.7061
202/849, train_loss: 0.7061
203/849, train_loss: 0.6675
204/849, train_loss: 0.6382
205/849, train_loss: 0.6863
206/849, train_loss: 0.7234
207/849, train_loss: 0.7148
208/849, train_loss: 0.6797
209/849, train_loss: 0.7112
210/849, train_loss: 0.7407
211/849, train_loss: 0.6755
212/849, train_loss: 0.7566
213/849, train_loss: 0.6526
214/849, train_loss: 0.6372
215/849, train_loss: 0.6550
216/849, train_loss: 0.7439
217/849, train_loss: 0.6150
218/849, train_loss: 0.7043
219/849, train_loss: 0.7666
220/849, train_loss: 0.7800
221/849, train_loss: 0.7739
222/849, train_loss: 0.6328
223/849, train_loss: 0.6306
224/849, train_loss: 0.7393
225/849, train_loss: 0.6851
226/849, train_loss: 0.6211
227/849, train_loss: 0.6111
228/849, train_loss: 0.7122
229/849, train_loss: 0.7856
230/849, train_loss: 0.5718
231/849, train_loss: 0.8149
232/849, train_loss: 0.6851
233/849, train_loss: 0.5537
234/849, train_loss: 0.7546
235/849, train_loss: 0.7727
236/849, train_loss: 0.6667
237/849, train_loss: 0.6917
238/849, train_loss: 0.7166
239/849, train_loss: 0.5588
240/849, train_loss: 0.5664
241/849, train_loss: 0.6851
242/849, train_loss: 0.5457
243/849, train_loss: 0.7046
244/849, train_loss: 0.9009
245/849, train_loss: 0.8000
246/849, train_loss: 0.5015
247/849, train_loss: 0.7859
248/849, train_loss: 0.6880
249/849, train_loss: 0.5142
250/849, train_loss: 0.7383
251/849, train_loss: 0.6763
252/849, train_loss: 0.6404
253/849, train_loss: 0.9170
254/849, train_loss: 0.6992
255/849, train_loss: 0.5232
256/849, train_loss: 0.7717
257/849, train_loss: 0.5249
258/849, train_loss: 0.5150
259/849, train_loss: 0.6917
260/849, train_loss: 0.6978
261/849, train_loss: 0.9185
262/849, train_loss: 0.9207
263/849, train_loss: 0.9019
264/849, train_loss: 0.9204
265/849, train_loss: 0.7178
266/849, train_loss: 0.7119
267/849, train_loss: 0.5828
268/849, train_loss: 0.5713
269/849, train_loss: 0.5840
270/849, train_loss: 0.6084
271/849, train_loss: 0.7292
272/849, train_loss: 0.7371
273/849, train_loss: 0.7881
274/849, train_loss: 0.7026
275/849, train_loss: 0.7900
276/849, train_loss: 0.6646
277/849, train_loss: 0.7769
278/849, train_loss: 0.6377
279/849, train_loss: 0.6516
280/849, train_loss: 0.6782
281/849, train_loss: 0.6472
282/849, train_loss: 0.6548
283/849, train_loss: 0.6738
284/849, train_loss: 0.6658
285/849, train_loss: 0.6929
286/849, train_loss: 0.7993
287/849, train_loss: 0.7178
288/849, train_loss: 0.6956
289/849, train_loss: 0.6599
290/849, train_loss: 0.6985
291/849, train_loss: 0.6306
292/849, train_loss: 0.7300
293/849, train_loss: 0.7029
294/849, train_loss: 0.7166
295/849, train_loss: 0.6855
296/849, train_loss: 0.6423
297/849, train_loss: 0.7471
298/849, train_loss: 0.6389
299/849, train_loss: 0.6658
300/849, train_loss: 0.7463
301/849, train_loss: 0.6309
302/849, train_loss: 0.6301
303/849, train_loss: 0.6965
304/849, train_loss: 0.6343
305/849, train_loss: 0.7063
306/849, train_loss: 0.7715
307/849, train_loss: 0.6216
308/849, train_loss: 0.7288
309/849, train_loss: 0.6321
310/849, train_loss: 0.7690
311/849, train_loss: 0.7144
312/849, train_loss: 0.6758
313/849, train_loss: 0.7251
314/849, train_loss: 0.6018
315/849, train_loss: 0.7212
316/849, train_loss: 0.6912
317/849, train_loss: 0.6521
318/849, train_loss: 0.6467
319/849, train_loss: 0.7026
320/849, train_loss: 0.6692
321/849, train_loss: 0.6553
322/849, train_loss: 0.7229
323/849, train_loss: 0.7852
324/849, train_loss: 0.6021
325/849, train_loss: 0.7231
326/849, train_loss: 0.7085
327/849, train_loss: 0.5840
328/849, train_loss: 0.6333
329/849, train_loss: 0.7283
330/849, train_loss: 0.6682
331/849, train_loss: 0.7375
332/849, train_loss: 0.6912
333/849, train_loss: 0.5920
334/849, train_loss: 0.7007
335/849, train_loss: 0.5593
336/849, train_loss: 0.7690
337/849, train_loss: 0.5276
338/849, train_loss: 0.5415
339/849, train_loss: 0.5248
340/849, train_loss: 0.7346
341/849, train_loss: 0.9939
342/849, train_loss: 0.9512
343/849, train_loss: 0.6141
344/849, train_loss: 0.6960
345/849, train_loss: 0.6843
346/849, train_loss: 0.7471
347/849, train_loss: 0.6586
348/849, train_loss: 0.6948
349/849, train_loss: 0.5220
350/849, train_loss: 0.5170
351/849, train_loss: 0.7192
352/849, train_loss: 0.7227
353/849, train_loss: 0.6593
354/849, train_loss: 0.9158
355/849, train_loss: 0.5183
356/849, train_loss: 0.7158
357/849, train_loss: 0.6865
358/849, train_loss: 0.6702
359/849, train_loss: 0.8706
360/849, train_loss: 0.5547
361/849, train_loss: 0.8955
362/849, train_loss: 0.6638
363/849, train_loss: 0.8022
364/849, train_loss: 0.5839
365/849, train_loss: 0.7039
366/849, train_loss: 0.5879
367/849, train_loss: 0.6040
368/849, train_loss: 0.8062
369/849, train_loss: 0.6753
370/849, train_loss: 0.7405
371/849, train_loss: 0.7825
372/849, train_loss: 0.6162
373/849, train_loss: 0.6201
374/849, train_loss: 0.7781
375/849, train_loss: 0.7815
376/849, train_loss: 0.7039
377/849, train_loss: 0.6497
378/849, train_loss: 0.7056
379/849, train_loss: 0.7305
380/849, train_loss: 0.7212
381/849, train_loss: 0.6982
382/849, train_loss: 0.7114
383/849, train_loss: 0.7070
384/849, train_loss: 0.6235
385/849, train_loss: 0.7639
386/849, train_loss: 0.7688
387/849, train_loss: 0.6157
388/849, train_loss: 0.6465
389/849, train_loss: 0.6201
390/849, train_loss: 0.6699
391/849, train_loss: 0.5571
392/849, train_loss: 0.6548
393/849, train_loss: 0.6953
394/849, train_loss: 0.7810
395/849, train_loss: 0.8057
396/849, train_loss: 0.8342
397/849, train_loss: 0.7778
398/849, train_loss: 0.6265
399/849, train_loss: 0.6531
400/849, train_loss: 0.6477
401/849, train_loss: 0.7075
402/849, train_loss: 0.7502
403/849, train_loss: 0.7090
404/849, train_loss: 0.7073
405/849, train_loss: 0.6990
406/849, train_loss: 0.6755
407/849, train_loss: 0.7075
408/849, train_loss: 0.7451
409/849, train_loss: 0.7295
410/849, train_loss: 0.6716
411/849, train_loss: 0.5662
412/849, train_loss: 0.7639
413/849, train_loss: 0.7502
